iter	Logloss
0	0.664608661
1	0.6319057364
2	0.5989760453
3	0.5709131184
4	0.5441359216
5	0.5236281562
6	0.4989222135
7	0.4810312806
8	0.4586911606
9	0.4415071837
10	0.4234965574
11	0.4070623205
12	0.3931355423
13	0.3762128961
14	0.3626709583
15	0.3500984006
16	0.3372744763
17	0.3254817438
18	0.3144804066
19	0.3059353447
20	0.2968233159
21	0.2882939153
22	0.2813482772
23	0.2742346027
24	0.2666631987
25	0.2588196185
26	0.2524026536
27	0.2469026008
28	0.2421491268
29	0.2374994936
30	0.2325336681
31	0.228825991
32	0.2250289812
33	0.2214336732
34	0.2171374133
35	0.2131059447
36	0.2103659742
37	0.2074324342
38	0.20347262
39	0.2004310453
40	0.1977982412
41	0.1955801247
42	0.1927579101
43	0.1907854631
44	0.1885077635
45	0.1863465316
46	0.1842479296
47	0.1821498746
48	0.180970563
49	0.1790099105
50	0.1775001423
51	0.1756830584
52	0.1745148796
53	0.1729757032
54	0.1704441209
55	0.1691450351
56	0.1675225357
57	0.1660495679
58	0.1646531772
59	0.1637564725
60	0.1625817518
61	0.1614439952
62	0.1603102744
63	0.159325771
64	0.1585151738
65	0.1573615473
66	0.156253676
67	0.1553950779
68	0.1545236848
69	0.1537913759
70	0.1527468228
71	0.1517762811
72	0.1509765315
73	0.1502922058
74	0.1496698795
75	0.1489990066
76	0.1483426222
77	0.1477449547
78	0.1472633737
79	0.1466095713
80	0.1458222487
81	0.1452633401
82	0.1443324244
83	0.1439850178
84	0.1435658885
85	0.1428783237
86	0.1421875017
87	0.1416773953
88	0.1411872384
89	0.1408029391
90	0.1402678807
91	0.1398623464
92	0.139450455
93	0.1389597249
94	0.1386509528
95	0.1382485424
96	0.1376310041
97	0.1374299363
98	0.1373365624
99	0.1368507588
100	0.1361955275
101	0.1357188021
102	0.1353106102
103	0.1351716423
104	0.1344728027
105	0.1341186237
106	0.1337423186
107	0.1336300334
108	0.1330932638
109	0.1327496041
110	0.1325116353
111	0.1321014889
112	0.1319026275
113	0.1316126812
114	0.1315030428
115	0.1309953834
116	0.1304699597
117	0.130344386
118	0.1301850103
119	0.1299550183
120	0.1298292481
121	0.1295523183
122	0.1293340469
123	0.1292360793
124	0.1291461848
125	0.1286563358
126	0.1283160781
127	0.1282567304
128	0.1281243309
129	0.1280462411
130	0.1277175711
131	0.1274090166
132	0.1273109814
133	0.1271755292
134	0.1270869497
135	0.1269624765
136	0.1266866884
137	0.1264492264
138	0.1263851612
139	0.1262833456
140	0.1262191752
141	0.1256813652
142	0.12562715
143	0.125494242
144	0.1251890971
145	0.1251309045
146	0.1249861097
147	0.1248999757
148	0.1247451403
149	0.1247029233
150	0.1245598069
151	0.1244767476
152	0.124371528
153	0.1241706628
154	0.1241083471
155	0.1240378818
156	0.1237300161
157	0.1235118304
158	0.1233963898
159	0.1232120555
160	0.1228762036
161	0.1228373407
162	0.1227262366
163	0.1226712149
164	0.122317185
165	0.1222155814
166	0.1221097939
167	0.1220682378
168	0.1217766674
