iter	Passed	Remaining
0	9	9466
1	19	9767
2	30	10179
3	41	10311
4	51	10224
5	61	10156
6	70	10051
7	80	9926
8	89	9909
9	99	9844
10	109	9857
11	119	9843
12	129	9825
13	139	9831
14	149	9847
15	161	9925
16	173	10019
17	184	10087
18	196	10129
19	207	10188
20	219	10250
21	231	10270
22	241	10249
23	252	10260
24	263	10264
25	274	10270
26	285	10287
27	296	10304
28	309	10370
29	322	10427
30	335	10474
31	354	10717
32	368	10790
33	383	10885
34	395	10900
35	407	10900
36	419	10916
37	432	10943
38	444	10956
39	455	10936
40	468	10955
41	480	10953
42	491	10946
43	504	10955
44	515	10949
45	527	10936
46	539	10940
47	551	10939
48	563	10937
49	575	10925
50	587	10923
51	599	10922
52	611	10917
53	622	10906
54	635	10917
55	647	10914
56	659	10909
57	670	10889
58	682	10877
59	692	10854
60	704	10840
61	716	10837
62	729	10844
63	741	10839
64	752	10830
65	764	10819
66	775	10797
67	786	10780
68	797	10765
69	809	10755
70	820	10740
71	831	10718
72	842	10702
73	853	10678
74	869	10727
75	884	10748
76	896	10744
77	908	10733
78	918	10704
79	928	10677
80	939	10657
81	950	10637
82	960	10608
83	970	10583
84	980	10552
85	990	10527
86	1000	10503
87	1011	10478
88	1021	10454
89	1031	10433
90	1042	10413
91	1052	10391
92	1063	10374
93	1073	10350
94	1083	10325
95	1094	10303
96	1104	10278
97	1113	10251
98	1123	10228
99	1134	10210
100	1144	10186
101	1154	10165
102	1164	10145
103	1175	10126
104	1186	10109
105	1196	10087
106	1206	10068
107	1216	10051
108	1228	10042
109	1239	10029
110	1251	10021
111	1274	10107
112	1286	10099
113	1298	10095
114	1310	10085
115	1320	10064
116	1330	10042
117	1341	10028
118	1352	10016
119	1364	10007
120	1376	9999
121	1388	9989
122	1399	9976
123	1410	9965
124	1422	9956
125	1433	9944
126	1445	9935
127	1456	9923
128	1467	9909
129	1478	9896
130	1489	9880
131	1500	9868
132	1511	9853
133	1523	9843
134	1534	9829
135	1545	9815
136	1557	9813
137	1569	9806
138	1580	9788
139	1591	9774
140	1602	9763
141	1614	9752
142	1625	9739
143	1636	9729
144	1647	9716
145	1659	9709
146	1671	9697
147	1682	9688
148	1694	9678
149	1705	9665
150	1717	9654
151	1729	9648
152	1741	9640
153	1752	9628
154	1763	9616
155	1775	9606
156	1786	9594
157	1798	9586
158	1810	9578
159	1822	9567
160	1833	9554
161	1844	9542
162	1855	9528
163	1867	9520
164	1878	9508
165	1890	9497
166	1901	9486
167	1913	9475
168	1925	9467
169	1936	9455
170	1954	9473
171	1965	9459
172	1975	9443
173	1985	9424
174	1995	9408
175	2005	9387
176	2014	9368
177	2024	9349
178	2035	9334
179	2046	9323
180	2057	9310
181	2068	9298
182	2079	9286
183	2091	9277
184	2103	9267
185	2115	9256
186	2126	9245
187	2138	9237
188	2150	9227
189	2163	9222
190	2174	9211
191	2187	9204
192	2199	9198
193	2211	9186
194	2222	9176
195	2234	9164
196	2244	9149
197	2254	9130
198	2264	9115
199	2275	9100
200	2285	9083
201	2294	9066
202	2304	9049
203	2314	9030
204	2324	9015
205	2335	9000
206	2345	8985
207	2355	8970
208	2366	8956
209	2377	8943
210	2387	8928
211	2397	8910
212	2406	8892
213	2416	8875
214	2426	8858
215	2435	8840
216	2444	8821
217	2454	8803
218	2463	8784
219	2472	8766
220	2481	8748
221	2491	8730
222	2500	8713
223	2510	8697
224	2520	8682
225	2530	8665
226	2540	8650
227	2550	8636
228	2560	8620
229	2570	8606
230	2580	8591
231	2590	8575
232	2601	8563
233	2611	8548
234	2620	8531
235	2630	8515
236	2640	8501
237	2650	8486
238	2661	8474
239	2673	8465
240	2685	8457
241	2698	8452
242	2710	8442
243	2721	8432
244	2733	8424
245	2746	8418
246	2759	8412
247	2773	8408
248	2786	8404
249	2799	8397
250	2811	8390
251	2824	8384
252	2838	8380
253	2850	8371
254	2861	8358
255	2872	8348
256	2884	8337
257	2894	8325
258	2905	8312
259	2915	8298
260	2925	8283
261	2935	8268
262	2945	8253
263	2954	8237
264	2963	8220
265	2973	8205
266	2983	8190
267	2993	8177
268	3004	8163
269	3014	8149
270	3023	8134
271	3033	8119
272	3043	8104
273	3052	8089
274	3062	8074
275	3072	8059
276	3082	8044
277	3092	8030
278	3102	8016
279	3112	8003
280	3122	7988
281	3132	7975
282	3142	7962
283	3153	7950
284	3164	7939
285	3176	7930
286	3188	7922
287	3200	7911
288	3212	7902
289	3224	7895
290	3237	7887
291	3251	7883
292	3264	7875
293	3276	7868
294	3289	7860
295	3300	7849
296	3312	7839
297	3324	7830
298	3336	7822
299	3348	7813
300	3360	7803
301	3371	7793
302	3382	7780
303	3396	7775
304	3407	7764
305	3418	7752
306	3430	7743
307	3442	7733
308	3453	7723
309	3465	7712
310	3476	7702
311	3488	7693
312	3500	7683
313	3511	7671
314	3522	7660
315	3539	7661
316	3551	7651
317	3562	7640
318	3574	7631
319	3586	7621
320	3599	7613
321	3610	7602
322	3621	7589
323	3631	7576
324	3641	7562
325	3651	7548
326	3661	7535
327	3670	7520
328	3682	7509
329	3694	7501
330	3706	7491
331	3718	7481
332	3729	7471
333	3741	7460
334	3753	7450
335	3768	7447
336	3780	7437
337	3792	7427
338	3804	7419
339	3815	7406
340	3825	7392
341	3838	7385
342	3848	7370
343	3857	7356
344	3867	7342
345	3877	7328
346	3886	7314
347	3896	7300
348	3906	7286
349	3915	7272
350	3926	7259
351	3938	7249
352	3949	7238
353	3961	7228
354	3972	7218
355	3984	7208
356	3996	7197
357	4008	7187
358	4019	7176
359	4031	7166
360	4042	7155
361	4054	7145
362	4066	7135
363	4078	7125
364	4089	7114
365	4101	7104
366	4112	7092
367	4123	7081
368	4134	7069
369	4145	7059
370	4157	7048
371	4169	7038
372	4180	7027
373	4192	7016
374	4203	7006
375	4215	6996
376	4227	6986
377	4239	6976
378	4251	6965
379	4263	6955
380	4275	6946
381	4286	6935
382	4298	6924
383	4311	6916
384	4322	6905
385	4333	6893
386	4344	6881
387	4354	6868
388	4365	6857
389	4376	6845
390	4387	6833
391	4398	6822
392	4409	6810
393	4419	6797
394	4430	6785
395	4440	6773
396	4450	6760
397	4461	6748
398	4472	6736
399	4482	6723
400	4493	6712
401	4503	6699
402	4513	6686
403	4525	6675
404	4536	6664
405	4548	6654
406	4560	6644
407	4571	6633
408	4583	6622
409	4595	6613
410	4608	6605
411	4620	6594
412	4632	6584
413	4644	6574
414	4657	6564
415	4668	6553
416	4679	6542
417	4689	6529
418	4699	6516
419	4710	6504
420	4720	6491
421	4730	6479
422	4740	6466
423	4750	6453
424	4759	6439
425	4769	6426
426	4779	6413
427	4789	6400
428	4799	6387
429	4808	6374
430	4818	6361
431	4828	6349
432	4838	6335
433	4847	6322
434	4858	6309
435	4867	6296
436	4876	6282
437	4886	6269
438	4895	6256
439	4905	6243
440	4915	6230
441	4925	6218
442	4935	6205
443	4944	6192
444	4954	6179
445	4964	6166
446	4974	6153
447	4984	6141
448	4994	6128
449	5004	6116
450	5013	6103
451	5023	6090
452	5033	6077
453	5043	6065
454	5053	6052
455	5062	6039
456	5073	6027
457	5083	6015
458	5093	6003
459	5103	5990
460	5113	5978
461	5123	5966
462	5134	5954
463	5144	5942
464	5154	5930
465	5164	5918
466	5174	5906
467	5184	5893
468	5195	5881
469	5205	5869
470	5215	5857
471	5225	5845
472	5235	5833
473	5246	5821
474	5255	5809
475	5265	5796
476	5275	5784
477	5285	5772
478	5295	5759
479	5305	5747
480	5315	5734
481	5324	5722
482	5334	5710
483	5344	5697
484	5354	5685
485	5364	5673
486	5373	5660
487	5383	5648
488	5393	5636
489	5403	5623
490	5412	5611
491	5422	5598
492	5432	5586
493	5442	5575
494	5452	5562
495	5462	5550
496	5471	5537
497	5481	5525
498	5491	5513
499	5501	5501
500	5510	5488
501	5520	5476
502	5530	5464
503	5540	5452
504	5550	5440
505	5560	5428
506	5570	5416
507	5580	5404
508	5590	5392
509	5600	5380
510	5609	5368
511	5619	5355
512	5629	5343
513	5638	5331
514	5648	5319
515	5658	5307
516	5668	5295
517	5678	5283
518	5688	5272
519	5698	5260
520	5707	5247
521	5717	5235
522	5727	5223
523	5737	5211
524	5746	5199
525	5756	5187
526	5766	5175
527	5776	5163
528	5786	5151
529	5795	5139
530	5805	5127
531	5815	5115
532	5825	5103
533	5834	5091
534	5844	5079
535	5853	5067
536	5863	5055
537	5873	5043
538	5883	5031
539	5892	5019
540	5903	5008
541	5912	4996
542	5922	4984
543	5931	4972
544	5941	4960
545	5951	4948
546	5961	4937
547	5972	4925
548	5981	4913
549	5995	4905
550	6005	4893
551	6015	4882
552	6026	4871
553	6036	4859
554	6045	4847
555	6055	4836
556	6065	4824
557	6079	4816
558	6089	4804
559	6099	4792
560	6109	4780
561	6119	4769
562	6130	4758
563	6140	4746
564	6149	4734
565	6160	4724
566	6172	4713
567	6183	4702
568	6193	4691
569	6204	4680
570	6215	4669
571	6225	4658
572	6235	4646
573	6245	4635
574	6256	4624
575	6266	4612
576	6275	4600
577	6285	4589
578	6296	4578
579	6306	4566
580	6316	4555
581	6326	4543
582	6337	4532
583	6347	4521
584	6356	4509
585	6366	4498
586	6376	4486
587	6386	4474
588	6396	4463
589	6406	4452
590	6417	4440
591	6427	4429
592	6438	4418
593	6448	4407
594	6459	4397
595	6470	4385
596	6481	4375
597	6491	4364
598	6501	4352
599	6512	4341
600	6521	4329
601	6531	4318
602	6542	4307
603	6553	4296
604	6563	4285
605	6573	4274
606	6583	4262
607	6594	4251
608	6603	4240
609	6614	4228
610	6624	4217
611	6635	4206
612	6644	4195
